team_slug,player,team,class,pos,ba,obp,slg,ops,gp,pa,ab,r,h,2b,3b,hr,rbi,hbp,bb,k,sb,cs
stjosephs,Blake Primrose,Saint Joseph’s,SO,C,0.388,0.502,0.854,1.356,54,263,206,78,80,18,3,24,72,4,48,55,2,0
stjosephs,Alex Kelsey,Saint Joseph’s,SO,CF,0.373,0.489,0.507,0.996,55,268,217,62,81,14,3,3,35,19,31,27,22,4
stjosephs,Joey Pagano,Saint Joseph’s,SR,LF,0.324,0.434,0.527,0.961,55,252,207,46,67,16,1,8,49,4,38,31,9,1
stjosephs,Richard Beggy,Saint Joseph’s,GR,3B,0.298,0.379,0.463,0.842,51,243,205,40,61,7,3,7,67,5,26,31,4,0
stjosephs,Joey Gale,Saint Joseph’s,JR,DH,0.287,0.389,0.393,0.782,44,215,178,45,51,7,0,4,30,8,23,39,10,4
stjosephs,Jason Janesko,Saint Joseph’s,SO,RF,0.277,0.379,0.398,0.777,55,247,206,41,57,8,1,5,42,9,26,72,26,3
stjosephs,Tim Dickinson,Saint Joseph’s,JR,2B,0.247,0.394,0.392,0.787,55,238,186,32,46,11,2,4,37,14,33,40,11,1
stjosephs,Carson Applegate,Saint Joseph’s,JR,SS,0.237,0.342,0.279,0.621,54,228,190,35,45,5,0,1,23,18,14,47,4,2
stjosephs,Alex Venezia,Saint Joseph’s,SO,1B,0.171,0.315,0.349,0.664,44,181,146,30,25,5,0,7,29,8,24,55,1,0
stjosephs,Ryan Price,Saint Joseph’s,SO,RF,0.273,0.5,0.273,0.773,9,16,11,4,3,0,0,0,1,1,4,6,0,0
stjosephs,Ben Peterson,Saint Joseph’s,FR,C,0.203,0.356,0.407,0.763,20,73,59,16,12,3,0,3,7,3,11,26,5,1
stjosephs,Jack Saker,Saint Joseph’s,SO,1B,0.159,0.28,0.19,0.47,23,77,63,3,10,2,0,0,8,3,8,30,0,0
stjosephs,Augie Maslo,Saint Joseph’s,FR,2B,0.111,0.158,0.111,0.269,10,19,18,1,2,0,0,0,0,0,1,8,0,0
stjosephs,Eric Cross,Saint Joseph’s,SO,3B,0.074,0.265,0.074,0.339,13,35,27,5,2,0,0,0,1,1,6,12,0,0
vcu,Jacob Lee,VCU,SO,C,0.336,0.465,0.621,1.086,63,297,235,64,79,14,1,17,56,15,44,60,10,5
vcu,Nick Flores,VCU,SO,LF,0.317,0.373,0.489,0.862,54,248,221,40,70,23,0,5,38,6,14,25,18,3
vcu,Nate Kirkpatrick,VCU,JR,3B,0.307,0.39,0.492,0.881,62,279,238,51,73,17,0,9,58,17,18,38,3,2
vcu,Alec Warden,VCU,FR,2B,0.295,0.405,0.416,0.821,56,215,173,38,51,11,2,2,30,10,24,48,12,4
vcu,Dante DeFranco,VCU,GR,SS,0.277,0.366,0.384,0.75,61,284,242,52,67,12,1,4,36,6,29,44,15,0
vcu,Michael Petite,VCU,JR,CF,0.274,0.437,0.548,0.984,63,300,230,66,63,15,3,14,43,23,45,52,22,2
vcu,Trent Adelman,VCU,JR,RF,0.261,0.364,0.374,0.739,63,257,211,32,55,7,1,5,43,13,22,46,6,4
vcu,Teige Lethert,VCU,GR,C,0.259,0.348,0.406,0.754,55,232,197,34,51,14,0,5,32,6,21,44,2,0
vcu,Quinn Maher,VCU,JR,1B,0.222,0.377,0.367,0.745,62,268,207,44,46,10,1,6,44,18,36,39,4,0
vcu,Boyce Read,VCU,FR,DH,0.231,0.355,0.308,0.663,12,31,26,5,6,2,0,0,1,0,5,7,0,0
vcu,Cade Tousa,VCU,JR,2B,0.2,0.314,0.233,0.548,14,37,30,6,6,1,0,0,2,0,5,15,0,3
vcu,Brody Leyboldt,VCU,JR,P,0.182,0.182,0.182,0.364,5,12,11,1,2,0,0,0,0,0,0,4,1,1
vcu,Brendan Horne,VCU,FR,LF,0.147,0.237,0.294,0.531,13,39,34,4,5,0,1,1,5,1,3,12,3,0
vcu,Ethan Acevedo,VCU,JR,LF,0.125,0.293,0.125,0.418,17,44,32,5,4,0,0,0,3,4,4,5,2,2
vcu,Graham Hylton,VCU,JR,1B,0,0.143,0,0.143,3,7,5,1,0,0,0,0,1,0,1,2,0,0
richmond,Dylan Winebrenner,Richmond,GR,1B,0.358,0.468,0.642,1.11,57,269,218,60,78,12,1,16,58,21,26,43,9,7
richmond,Michael Elko,Richmond,SR,2B,0.34,0.459,0.533,0.992,54,246,197,52,67,13,2,7,38,17,27,40,27,3
richmond,Evan Wilson,Richmond,FR,RF,0.329,0.462,0.611,1.073,45,189,149,37,49,15,0,9,36,13,24,25,8,5
richmond,RJ Johnson Jr.,Richmond,GR,LF,0.323,0.447,0.553,1,52,200,161,41,52,13,0,8,42,15,22,35,6,3
richmond,Chris Schaller,Richmond,FR,CF,0.315,0.393,0.525,0.918,46,187,162,31,51,14,1,6,32,14,7,41,14,3
richmond,Aidan O'Keefe,Richmond,JR,3B,0.248,0.379,0.344,0.723,43,157,125,19,31,3,0,3,17,3,24,24,4,1
richmond,Ryan Recio,Richmond,GR,1B,0.246,0.371,0.532,0.903,47,160,126,26,31,9,0,9,28,8,20,37,4,3
richmond,Noah Haught,Richmond,FR,SS,0.24,0.333,0.305,0.639,49,178,154,19,37,8,1,0,19,2,20,41,4,0
richmond,Sean Scanlon,Richmond,GR,DH,0.209,0.344,0.41,0.754,48,164,134,25,28,9,0,6,24,11,17,37,3,0
richmond,RJ Rickabaugh,Richmond,JR,C,0.266,0.421,0.404,0.824,41,145,109,20,29,6,0,3,22,9,23,31,3,2
richmond,Grant Kennedy,Richmond,SO,LF,0.256,0.352,0.346,0.698,29,93,78,12,20,4,0,1,10,1,11,22,5,2
richmond,Jackson Kraemer,Richmond,JR,RF,0.235,0.333,0.324,0.657,15,40,34,9,8,0,0,1,4,2,3,14,1,0
richmond,Khristopher Morris,Richmond,GR,LF,0.226,0.382,0.434,0.816,20,68,53,7,12,2,0,3,15,4,10,26,2,0
richmond,Trevor Dosenbach,Richmond,SO,RF,0.217,0.298,0.313,0.611,37,97,83,8,18,3,1,1,12,2,8,21,7,0
richmond,Noah Harvey,Richmond,FR,SS,0.186,0.352,0.209,0.561,23,55,43,9,8,1,0,0,8,4,7,17,1,1
richmond,Reid Downs,Richmond,FR,DH,0.158,0.227,0.211,0.438,14,22,19,9,3,1,0,0,2,0,2,3,7,1
richmond,Joe Crenshaw,Richmond,FR,C,0.154,0.389,0.154,0.543,10,18,13,3,2,0,0,0,1,1,4,7,2,1
richmond,PJ Hughes,Richmond,JR,SS,0.125,0.3,0.125,0.425,5,11,8,1,1,0,0,0,0,0,2,3,0,0
richmond,Mateo Zeppieri,Richmond,GR,RF,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,4,0,0
georgemas,Luciano Terilli,George Mason,GR,CF,0.346,0.446,0.418,0.864,56,254,208,36,72,10,1,1,42,7,33,35,15,9
georgemas,Owen Clyne,George Mason,SR,SS,0.335,0.425,0.555,0.98,56,262,218,57,73,15,3,9,56,4,34,34,20,6
georgemas,Lucas Alberti,George Mason,SO,LF,0.315,0.422,0.451,0.873,56,258,213,45,67,7,2,6,46,9,32,33,23,7
georgemas,Jake Butler,George Mason,JR,1B,0.274,0.382,0.413,0.795,56,256,208,43,57,15,1,4,30,9,29,36,22,4
georgemas,Matt Westley,George Mason,JR,1B,0.273,0.35,0.403,0.753,43,163,139,28,38,6,0,4,23,2,16,21,6,2
georgemas,Julius Bagnerise,George Mason,FR,2B,0.26,0.365,0.381,0.746,51,223,181,39,47,9,2,3,41,6,28,29,29,8
georgemas,Drew Canody,George Mason,SR,RF,0.208,0.288,0.292,0.579,47,164,144,28,30,6,0,2,15,7,9,38,15,1
georgemas,Jackson Morse,George Mason,FR,3B,0.304,0.439,0.336,0.775,39,164,125,28,38,1,0,1,13,4,27,20,12,3
georgemas,Evan Blanchard,George Mason,SR,DH,0.259,0.399,0.339,0.738,37,143,112,18,29,6,0,1,19,11,15,19,3,2
georgemas,Logan Vaughan,George Mason,GR,C,0.225,0.307,0.306,0.613,40,131,111,21,25,3,0,2,20,3,11,16,3,1
georgemas,Laken Tignor,George Mason,SR,DH,0.194,0.254,0.306,0.56,23,70,62,13,12,2,1,1,9,1,4,17,1,1
georgemas,Jack McCarthy,George Mason,SO,C,0.186,0.222,0.302,0.525,14,45,43,4,8,2,0,1,11,0,2,6,0,1
georgemas,Vincent Cowdrey,George Mason,JR,C,0.182,0.316,0.273,0.589,26,97,77,10,14,3,2,0,7,2,14,19,2,2
georgemas,Toby Hueber,George Mason,JR,3B,0.143,0.4,0.286,0.686,4,10,7,2,1,1,0,0,0,1,2,3,0,0
georgemas,Cooper Smith,George Mason,GR,DH,0.125,0.222,0.125,0.347,6,9,8,0,1,0,0,0,0,1,0,2,0,0
davidson,Matt Manjooran,Davidson,FR,2B,0.332,0.436,0.51,0.946,51,234,196,33,65,12,4,5,49,14,23,51,6,2
davidson,Jamie Daly,Davidson,SO,CF,0.328,0.452,0.588,1.04,49,222,177,44,58,9,2,11,40,14,28,63,13,1
davidson,Anthony Torreso,Davidson,JR,DH,0.303,0.445,0.578,1.024,49,238,185,45,56,8,2,13,52,8,42,55,3,0
davidson,Forrest Lietz,Davidson,JR,RF,0.301,0.412,0.466,0.878,50,211,176,42,53,7,2,6,41,2,32,46,6,2
davidson,Fredy Diaz,Davidson,SO,SS,0.262,0.382,0.372,0.754,47,179,145,23,38,10,0,2,23,17,11,35,8,2
davidson,Matthew Vannoy,Davidson,FR,3B,0.261,0.435,0.332,0.766,53,265,199,51,52,6,1,2,21,17,44,57,11,2
davidson,Theo Loughlin,Davidson,FR,1B,0.242,0.392,0.323,0.715,41,158,124,20,30,7,0,1,26,2,30,45,2,0
davidson,Ethan Jimenez,Davidson,FR,1B,0.333,0.333,0.333,0.667,3,3,3,0,1,0,0,0,0,0,0,2,0,0
