player,pos,class,from_school,season,to_school,date_entered
Ryder Hernandez,3B,SR,Incarnate Word,2026,--,2026-06-03
Nolan Kutney,RF,SR,UMBC,2026,--,2026-06-03
Nolan Kutney,RF,SR,UMBC,2026,--,2026-06-03
Mason Snyder,P,JR,Western Carolina,2026,--,2026-06-03
Jack Gibson,P,JR,USC Upstate,2026,--,2026-06-03
Ethan Acevedo,LF,JR,VCU,2026,--,2026-06-03
Jamar Whitehead,C,SO,Coppin State,2026,--,2026-06-03
Noah Bourgeois,P,JR,Southeast Missouri,2026,--,2026-06-03
Nathan Hook,P,JR,USC Upstate,2026,--,2026-06-03
Ryan Alexander,IF,JR,UL Monroe,2026,--,2026-06-03
Nakni Anna,P,JR,USF,2026,--,2026-06-03
Braedon Davis,P,JR,Youngstown State,2026,--,2026-06-03
JT Long,P,JR,Dallas Baptist,2026,--,2026-06-03
Naun Haro,P,SR,Utah Valley,2026,--,2026-06-03
Mario Trivella,SS,JR,Florida International,2026,--,2026-06-03
Trey Reinburg,P,JR,Western Kentucky,2026,--,2026-06-03
Bryce Koch,P,SO,Louisville,2026,--,2026-06-03
Domenico Tozzi,C,SO,Coastal Carolina,2026,--,2026-06-03
Frank Papeo,P,SO,Rider,2026,--,2026-06-03
Jackson Miller,LF,SO,Wake Forest,2026,--,2026-06-03
Koen Barton,P,SO,Hawaii,2026,--,2026-06-03
Brooks Willoughby,P,SO,Southern Miss,2026,--,2026-06-03
Jay Abernathy,CF,SO,Tennessee,2026,--,2026-06-03
Conner Johnson,P,SO,Oral Roberts,2026,--,2026-06-03
Tyler Cripe,2B,FR,Navy,2026,--,2026-06-03
Mason Palermo,C,FR,Oakland,2026,--,2026-06-03
Kiernan O'Neill,IF,FR,UCF,2026,--,2026-06-03
Ian Nguyen,C,JR,Western Kentucky,2026,--,2026-06-03
Koa Won,C,FR,Hawaii,2026,--,2026-06-03
Jadyn Furgason,P,FR,Texas,2026,--,2026-06-03
Boyce Read,DH,FR,VCU,2026,--,2026-06-03
Jack Joyce,P,JR,Coppin State,2026,--,2026-06-03
Tyler Vargas,P,JR,Wagner,2026,--,2026-06-03
Will Page-Allen,P,JR,Fresno State,2026,--,2026-06-02
Westin Boyle,SS,FR,Purdue,2026,--,2026-06-02
Aidan Haynes,P,SR,UL Monroe,2026,--,2026-06-02
Austin Matranga,IF,JR,Grand Canyon,2026,--,2026-06-02
Brody McNiel,P,SO,Missouri State,2026,--,2026-06-02
Keller Eberly,P,JR,Texas State,2026,--,2026-06-02
Nicholas Robb,P,JR,Grand Canyon,2026,--,2026-06-02
Daniel Harden,LF,JR,LSU,2026,--,2026-06-02
Carlos Jacome,2B,JR,East Carolina,2026,--,2026-06-02
Logan Dunn,OF,SO,Missouri State,2026,--,2026-06-02
Max Charles,CF,SO,Grand Canyon,2026,--,2026-06-02
Louis Hill,IF,FR,Oral Roberts,2026,--,2026-06-02
Josh Glaser,P,SO,Texas State,2026,--,2026-06-02
Kade Thompson,C,FR,Texas State,2026,--,2026-06-02
Matt Dworsky,C,JR,Arkansas-Pine Bluff,2026,--,2026-06-02
Charlie Dieruf IV,P,SO,Cincinnati,2026,--,2026-06-02
Luke Saunders,P,SO,Texas State,2026,--,2026-06-02
Chase Frey,P,JR,Grand Canyon,2026,--,2026-06-02
Nate Wochner,P,FR,BYU,2026,--,2026-06-02
